,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
," PIB-renda do Agronegócio Brasileiro, 1996 a 2023, em R$ Milhões de jun/2023",,,,,,,,,,,,,,,,,," PIB do Agronegócio Brasileiro, 1996 a 2023, em R$ Milhões correntes",,,,,,,,,,,,,,,,
,Agronegócio,,,,,,Ramo Agrícola,,,,,,Ramo Pecuário,,,,,,Agronegócio,,,,,,Ramo Agrícola,,,,,,Ramo Pecuário,,,,
,(A) Insumos,(B) Agropecuária ,(C) Indústria,(D) Serviços,Agronegócio Total (A+B+C+D),,(A) Insumos,(B) Agropecuária ,(C) Indústria,(D) Serviços,Ramo Agrícola (A+B+C+D),,(A) Insumos,(B) Agropecuária ,(C) Indústria,(D) Serviços,Ramo Pecuário (A+B+C+D),,(A) Insumos,(B) Agropecuária ,(C) Indústria,(D) Serviços,Agronegócio Total (A+B+C+D),,(A) Insumos,(B) Agropecuária ,(C) Indústria,(D) Serviços,Ramo Agrícola (A+B+C+D),,(A) Insumos,(B) Agropecuária ,(C) Indústria,(D) Serviços,Ramo Pecuário (A+B+C+D)
1996, 32.498 , 241.850 , 720.411 , 1.080.304 , 2.075.063 ,, 20.735 , 189.234 , 595.492 , 812.698 , 1.618.159 ,, 11.763 , 52.616 , 124.919 , 267.606 , 456.904 ,, 4.657 , 34.661 , 103.246 , 154.824 , 297.389 ,, 2.972 , 27.120 , 85.343 , 116.472 , 231.907 ,, 1.686 , 7.541 , 17.903 , 38.352 , 65.481 
1997, 33.815 , 241.524 , 663.140 , 992.598 , 1.931.077 ,, 22.819 , 187.860 , 546.346 , 739.220 , 1.496.245 ,, 10.996 , 53.664 , 116.794 , 253.378 , 434.833 ,, 5.221 , 37.289 , 102.384 , 153.249 , 298.143 ,, 3.523 , 29.004 , 84.352 , 114.130 , 231.008 ,, 1.698 , 8.285 , 18.032 , 39.120 , 67.135 
1998, 33.480 , 242.773 , 622.317 , 940.391 , 1.838.960 ,, 22.602 , 190.669 , 516.905 , 709.999 , 1.440.175 ,, 10.878 , 52.104 , 105.412 , 230.392 , 398.786 ,, 5.424 , 39.328 , 100.812 , 152.338 , 297.902 ,, 3.661 , 30.887 , 83.736 , 115.016 , 233.301 ,, 1.762 , 8.441 , 17.076 , 37.322 , 64.601 
1999, 36.342 , 249.956 , 610.957 , 927.329 , 1.824.584 ,, 23.323 , 192.244 , 509.826 , 707.410 , 1.432.802 ,, 13.019 , 57.712 , 101.131 , 219.920 , 391.782 ,, 6.359 , 43.735 , 106.899 , 162.254 , 319.246 ,, 4.081 , 33.637 , 89.204 , 123.775 , 250.696 ,, 2.278 , 10.098 , 17.695 , 38.479 , 68.550 
2000, 44.369 , 252.680 , 667.863 , 1.011.541 , 1.976.453 ,, 29.014 , 177.824 , 563.130 , 783.638 , 1.553.607 ,, 15.355 , 74.856 , 104.732 , 227.902 , 422.846 ,, 8.199 , 46.691 , 123.409 , 186.914 , 365.212 ,, 5.361 , 32.859 , 104.056 , 144.802 , 287.078 ,, 2.837 , 13.832 , 19.353 , 42.112 , 78.134 
2001, 49.238 , 290.376 , 640.769 , 997.440 , 1.977.822 ,, 33.851 , 205.501 , 529.238 , 749.198 , 1.517.788 ,, 15.387 , 84.875 , 111.531 , 248.242 , 460.034 ,, 9.846 , 58.068 , 128.139 , 199.465 , 395.518 ,, 6.769 , 41.095 , 105.835 , 149.822 , 303.522 ,, 3.077 , 16.973 , 22.304 , 49.643 , 91.996 
2002, 60.690 , 344.222 , 636.585 , 996.553 , 2.038.049 ,, 39.138 , 259.098 , 534.557 , 774.980 , 1.607.774 ,, 21.551 , 85.123 , 102.027 , 221.573 , 430.275 ,, 13.326 , 75.581 , 139.776 , 218.815 , 447.497 ,, 8.594 , 56.891 , 117.374 , 170.163 , 353.021 ,, 4.732 , 18.691 , 22.402 , 48.651 , 94.476 
2003, 81.254 , 400.409 , 618.093 , 985.178 , 2.084.935 ,, 55.379 , 302.674 , 524.108 , 782.632 , 1.664.794 ,, 25.875 , 97.735 , 93.985 , 202.546 , 420.141 ,, 20.355 , 100.307 , 154.840 , 246.799 , 522.302 ,, 13.873 , 75.824 , 131.296 , 196.059 , 417.052 ,, 6.482 , 24.484 , 23.545 , 50.740 , 105.251 
